Date,Price
4/23/2017,1252
4/24/2017,1257.3
4/25/2017,1281.2
4/26/2017,1298.4
4/27/2017,1349.3
4/28/2017,1353.3
4/29/2017,1365.4
4/30/2017,1384.6
5/1/2017,1436.5
5/2/2017,1472
5/3/2017,1533
5/4/2017,1563.4
5/5/2017,1551.3
5/6/2017,1585.4
5/7/2017,1609.6
5/8/2017,1713
5/9/2017,1720.4
5/10/2017,1795
5/11/2017,1837.9
5/12/2017,1695.6
5/13/2017,1792.7
5/14/2017,1800
5/15/2017,1747.8
5/16/2017,1777.5
5/17/2017,1813.2
5/18/2017,1899.2
5/19/2017,1976.2
5/20/2017,2058.9
5/21/2017,2057
5/22/2017,2123.3
5/23/2017,2272.8
5/24/2017,2433
5/25/2017,2355
5/26/2017,2272.7
5/27/2017,2100
5/28/2017,2232.8
5/29/2017,2279.5
5/30/2017,2191.6
5/31/2017,2303.3
6/1/2017,2420
6/2/2017,2479
6/3/2017,2548.1
6/4/2017,2521.4
6/5/2017,2698
6/6/2017,2871.3
6/7/2017,2685.6
6/8/2017,2799.7
6/9/2017,2811.4
6/10/2017,2931.1
6/11/2017,2999
6/12/2017,2655
6/13/2017,2708.8
6/14/2017,2433.9
6/15/2017,2409.9
6/16/2017,2486
6/17/2017,2643
6/18/2017,2512.9
6/19/2017,2597
6/20/2017,2725.1
6/21/2017,2643.3
6/22/2017,2679.9
6/23/2017,2690.8
6/24/2017,2575
6/25/2017,2500
6/26/2017,2411.3
6/27/2017,2569.1
6/28/2017,2553
6/29/2017,2536.5
6/30/2017,2457.5
7/1/2017,2420.2
7/2/2017,2513.3
7/3/2017,2542.4
7/4/2017,2607
7/5/2017,2616.5
7/6/2017,2604.4
7/7/2017,2501.3
7/8/2017,2560.1
7/9/2017,2509
7/10/2017,2333.1
7/11/2017,2310.2
7/12/2017,2386.2
7/13/2017,2337.5
7/14/2017,2217
7/15/2017,1969.1
7/16/2017,1910.9
7/17/2017,2229.5
7/18/2017,2308
7/19/2017,2257.9
7/20/2017,2849
7/21/2017,2665.9
7/22/2017,2825.3
7/23/2017,2754.3
7/24/2017,2762.3
7/25/2017,2563.4
7/26/2017,2525.2
7/27/2017,2592.4
7/28/2017,2758.5
7/29/2017,2679
7/30/2017,2622.2
7/31/2017,2858.4
8/1/2017,2732.6
8/2/2017,2699.9
8/3/2017,2787
8/4/2017,2857.3
8/5/2017,3243.5
8/6/2017,3222.2
8/7/2017,3398.2
8/8/2017,3422.4
8/9/2017,3342.1
8/10/2017,3445
8/11/2017,3657
8/12/2017,3874
8/13/2017,4060.5
8/14/2017,4320.6
8/15/2017,4159.9
8/16/2017,4370
8/17/2017,4280
8/18/2017,4101.7
8/19/2017,4157.4
8/20/2017,4050
8/21/2017,4002
8/22/2017,4090
8/23/2017,4143.5
8/24/2017,4312
8/25/2017,4360
8/26/2017,4344.4
8/27/2017,4343.9
8/28/2017,4384.7
8/29/2017,4599
8/30/2017,4582
8/31/2017,4743.9
9/1/2017,4947.9
9/2/2017,4642
9/3/2017,4626
9/4/2017,4498.9
9/5/2017,4432.5
9/6/2017,4616.2
9/7/2017,4624.2
9/8/2017,4350
9/9/2017,4334.4
9/10/2017,4251.4
9/11/2017,4210.7
9/12/2017,4164.5
9/13/2017,3855.6
9/14/2017,3250.4
9/15/2017,3740
9/16/2017,3726.5
9/17/2017,3719.9
9/18/2017,4100
9/19/2017,3910.1
9/20/2017,3867.1
9/21/2017,3617.5
9/22/2017,3619
9/23/2017,3788.5
9/24/2017,3670.5
9/25/2017,3920
9/26/2017,3885.1
9/27/2017,4200
9/28/2017,4189.4
9/29/2017,4157
