Date,Price
3/13/2017,28.45
3/14/2017,28.58
3/15/2017,35.18
3/16/2017,45.51
3/17/2017,44.48
3/18/2017,34
3/19/2017,43.12
3/20/2017,42.51
3/21/2017,42.67
3/22/2017,41.65
3/23/2017,43.2
3/24/2017,53.19
3/25/2017,50.62
3/26/2017,50.63
3/27/2017,49.06
3/28/2017,50.25
3/29/2017,53.07
3/30/2017,51.91
3/31/2017,49.91
4/1/2017,50.6
4/2/2017,48.55
4/3/2017,44.13
4/4/2017,44.43
4/5/2017,44.9
4/6/2017,43.23
4/7/2017,42.31
4/8/2017,44.37
4/9/2017,43.72
4/10/2017,43.74
4/11/2017,43.74
4/12/2017,46.38
4/13/2017,49.97
4/14/2017,47.32
4/15/2017,48.89
4/16/2017,48.22
4/17/2017,47.94
4/18/2017,49.88
4/19/2017,47.88
4/20/2017,49.36
4/21/2017,48.27
4/22/2017,48.41
4/23/2017,48.75
4/24/2017,49.94
4/25/2017,50.09
4/26/2017,53.28
4/27/2017,63.14
4/28/2017,72.42
4/29/2017,69.83
4/30/2017,79.83
5/1/2017,77.53
5/2/2017,77.25
5/3/2017,80.37
5/4/2017,94.55
5/5/2017,90.79
5/6/2017,94.82
5/7/2017,90.46
5/8/2017,88.39
5/9/2017,86.27
5/10/2017,87.83
5/11/2017,88.2
5/12/2017,85.15
5/13/2017,87.96
5/14/2017,88.72
5/15/2017,90.32
5/16/2017,87.8
5/17/2017,86.98
5/18/2017,95.88
5/19/2017,124.38
5/20/2017,123.06
5/21/2017,148
5/22/2017,160.39
5/23/2017,169.5
5/24/2017,193.03
5/25/2017,180.87
5/26/2017,163.81
5/27/2017,159.77
5/28/2017,175.53
5/29/2017,194.91
5/30/2017,228.59
5/31/2017,228.47
6/1/2017,222.03
6/2/2017,221.91
6/3/2017,224.95
6/4/2017,245.45
6/5/2017,247.98
6/6/2017,264.69
6/7/2017,255.99
6/8/2017,258.64
6/9/2017,279.39
6/10/2017,341.61
6/11/2017,343.03
6/12/2017,397.18
6/13/2017,387.99
6/14/2017,341.7
6/15/2017,343.73
6/16/2017,354.26
6/17/2017,368.99
6/18/2017,351.38
6/19/2017,358.71
6/20/2017,350.89
6/21/2017,326.73
6/22/2017,320.02
6/23/2017,326.96
6/24/2017,304.92
6/25/2017,278.4
6/26/2017,251.64
6/27/2017,287.24
6/28/2017,315.32
6/29/2017,292.98
6/30/2017,280.73
7/1/2017,262.52
7/2/2017,284.46
7/3/2017,276.37
7/4/2017,269
7/5/2017,265.98
7/6/2017,266.01
7/7/2017,241.19
7/8/2017,246.68
7/9/2017,237.67
7/10/2017,204.56
7/11/2017,190.61
7/12/2017,224.81
7/13/2017,204.99
7/14/2017,197.23
7/15/2017,168.42
7/16/2017,155.47
7/17/2017,190.73
7/18/2017,227
7/19/2017,194.14
7/20/2017,226.35
7/21/2017,217
7/22/2017,230.69
7/23/2017,228.34
7/24/2017,225.76
7/25/2017,203.79
7/26/2017,203.01
7/27/2017,199.62
7/28/2017,193.51
7/29/2017,179.34
7/30/2017,194.16
7/31/2017,200.82
8/1/2017,225.73
8/2/2017,217.92
8/3/2017,224
8/4/2017,220.72
8/5/2017,251.85
8/6/2017,264.16
8/7/2017,269.9
8/8/2017,295.95
8/9/2017,295.26
8/10/2017,300.52
8/11/2017,309.65
8/12/2017,308.35
8/13/2017,296.67
8/14/2017,299.16
8/15/2017,286.71
8/16/2017,300.45
8/17/2017,300.66
8/18/2017,292.87
8/19/2017,293.58
8/20/2017,297.79
8/21/2017,321.99
8/22/2017,314.19
8/23/2017,317.5
8/24/2017,324.56
8/25/2017,330.14
8/26/2017,332.99
8/27/2017,348.2
8/28/2017,347.54
8/29/2017,372.48
8/30/2017,384.1
8/31/2017,389.2
9/1/2017,392.87
9/2/2017,354.85
9/3/2017,353.06
9/4/2017,316.87
9/5/2017,320.08
9/6/2017,339.38
9/7/2017,335.56
9/8/2017,308
9/9/2017,304.99
9/10/2017,300.33
9/11/2017,298.47
9/12/2017,294.5
9/13/2017,275.71
9/14/2017,223.84
9/15/2017,260.88
9/16/2017,255.85
9/17/2017,259.66
9/18/2017,298
9/19/2017,282.55
9/20/2017,283.34
9/21/2017,258.11
9/22/2017,263.88
9/23/2017,286.03
9/24/2017,283.21
9/25/2017,294.41
9/26/2017,288.77
9/27/2017,309.85
9/28/2017,302.33
9/29/2017,291.99
