date,AAPL
4/18/2011,-2.56E-02
4/19/2011,-6.47E-03
4/20/2011,7.12E-03
4/21/2011,3.19E-02
4/25/2011,3.89E-02
4/26/2011,3.08E-02
4/27/2011,3.01E-02
4/28/2011,1.99E-02
4/29/2011,3.01E-02
5/2/2011,1.79E-02
5/3/2011,2.27E-02
5/4/2011,2.53E-02
5/5/2011,1.52E-02
5/6/2011,1.36E-02
5/9/2011,1.45E-02
5/10/2011,1.73E-02
5/11/2011,8.19E-03
5/12/2011,4.57E-03
5/13/2011,-1.52E-02
5/16/2011,-3.79E-02
5/17/2011,-2.99E-02
5/18/2011,-1.89E-02
5/19/2011,-1.66E-02
5/20/2011,-3.04E-02
5/23/2011,-3.02E-02
5/24/2011,-3.42E-02
5/25/2011,-1.82E-02
5/26/2011,-2.19E-02
5/27/2011,-1.26E-02
5/31/2011,1.93E-02
6/1/2011,1.26E-02
6/2/2011,1.50E-02
6/3/2011,7.27E-03
6/6/2011,-8.08E-03
6/7/2011,-2.42E-02
6/8/2011,-2.10E-02
6/9/2011,-2.10E-02
6/10/2011,-3.52E-02
6/13/2011,-3.09E-02
6/14/2011,-1.26E-02
6/15/2011,-2.89E-02
6/16/2011,-3.16E-02
6/17/2011,-4.39E-02
6/20/2011,-5.65E-02
6/21/2011,-2.37E-02
6/22/2011,-3.07E-02
6/23/2011,-2.55E-03
6/24/2011,-1.67E-02
6/27/2011,2.25E-03
6/28/2011,1.45E-02
6/29/2011,1.25E-02
6/30/2011,1.94E-02
7/1/2011,4.37E-02
7/5/2011,6.16E-02
7/6/2011,6.57E-02
7/7/2011,7.88E-02
7/8/2011,8.20E-02
7/11/2011,5.92E-02
7/12/2011,5.39E-02
7/13/2011,6.30E-02
7/14/2011,5.71E-02
7/15/2011,7.28E-02
7/18/2011,9.14E-02
7/19/2011,9.05E-02
7/20/2011,1.11E-01
7/21/2011,1.01E-01
7/22/2011,1.09E-01
7/25/2011,1.13E-01
7/26/2011,1.16E-01
7/27/2011,7.49E-02
7/28/2011,6.38E-02
7/29/2011,5.17E-02
8/1/2011,6.15E-02
8/2/2011,3.36E-02
8/3/2011,3.80E-02
8/4/2011,-7.11E-03
8/5/2011,-1.94E-02
8/8/2011,-7.55E-02
8/9/2011,-2.09E-02
8/10/2011,-5.00E-02
8/11/2011,-2.47E-02
8/12/2011,-1.73E-02
8/15/2011,-9.83E-04
8/16/2011,-9.51E-03
8/17/2011,-8.74E-03
8/18/2011,-4.53E-02
8/19/2011,-6.80E-02
8/22/2011,-6.14E-02
8/23/2011,-9.79E-03
8/24/2011,-3.01E-04
8/25/2011,-4.66E-03
8/26/2011,2.40E-02
8/29/2011,4.30E-02
8/30/2011,4.29E-02
8/31/2011,2.95E-02
9/1/2011,1.82E-02
9/2/2011,-1.46E-03
9/6/2011,1.08E-02
9/7/2011,2.11E-02
9/8/2011,1.88E-02
9/9/2011,-3.46E-04
9/12/2011,6.10E-03
9/13/2011,1.90E-02
9/14/2011,3.08E-02
9/15/2011,3.92E-02
9/16/2011,5.52E-02
9/19/2011,7.79E-02
9/20/2011,7.45E-02
9/21/2011,6.53E-02
9/22/2011,3.35E-02
9/23/2011,3.60E-02
9/26/2011,3.02E-02
9/27/2011,1.84E-02
9/28/2011,1.14E-02
9/29/2011,-6.65E-03
9/30/2011,-3.14E-02
10/3/2011,-4.94E-02
10/4/2011,-5.41E-02
10/5/2011,-3.80E-02
10/6/2011,-3.95E-02
10/7/2011,-5.87E-02
10/10/2011,-9.01E-03
10/11/2011,1.97E-02
10/12/2011,2.30E-02
