date,EBAY,YHOO
2/11/2011,34.51,16.85
2/14/2011,33.86,16.89
2/15/2011,34.46,17.2
2/16/2011,34.46,17.76
2/17/2011,34.69,17.77
2/18/2011,34.53,17.66
2/22/2011,33.65,16.91
2/23/2011,32.85,16.58
2/24/2011,33.09,16.37
2/25/2011,33.63,16.5
2/28/2011,33.51,16.4
3/1/2011,32.29,16.1
3/2/2011,32.68,16.63
3/3/2011,32.93,16.86
3/4/2011,32.01,17.08
3/7/2011,31.5,16.7
3/8/2011,31.67,16.94
3/9/2011,31.33,17.65
3/10/2011,31.08,17.06
3/11/2011,30.92,17.42
3/14/2011,30.77,17.31
3/15/2011,30.44,16.33
3/16/2011,29.73,15.91
3/17/2011,29.95,15.86
3/18/2011,30.47,16.03
3/21/2011,30.58,16.29
3/22/2011,30.22,16.36
3/23/2011,30.67,16.13
3/24/2011,31.76,16.83
3/25/2011,31.7,16.96
3/28/2011,30.34,16.58
3/29/2011,31.08,16.75
3/30/2011,31.63,16.74
3/31/2011,31.04,16.68
4/1/2011,31.36,16.84
4/4/2011,31.39,16.87
4/5/2011,31.84,17.11
4/6/2011,31.85,17.05
4/7/2011,31.53,17
4/8/2011,31.14,16.77
4/11/2011,31.19,16.59
4/12/2011,30.7,16.36
4/13/2011,30.67,16.64
4/14/2011,30.85,16.69
4/15/2011,31.61,16.62
4/18/2011,31.15,16.35
4/19/2011,31.15,16.12
4/20/2011,31.76,16.87
4/21/2011,31.95,16.85
4/25/2011,32.96,17.11
4/26/2011,33.08,17.28
4/27/2011,34.03,17.26
4/28/2011,34,17.51
4/29/2011,34.39,17.7
5/2/2011,33.64,18.14
5/3/2011,33.54,17.92
5/4/2011,33.01,18.2
5/5/2011,32.68,18.43
5/6/2011,32.72,18.65
5/9/2011,33.12,18.56
5/10/2011,33.93,18.55
5/11/2011,33.31,17.2
5/12/2011,33.58,17.17
5/13/2011,33.57,16.55
5/16/2011,32.37,15.81
5/17/2011,32.65,16
5/18/2011,32.88,15.96
5/19/2011,32.9,16.35
5/20/2011,32.48,16.3
5/23/2011,31.63,16.06
5/24/2011,30.82,16.14
5/25/2011,30.7,16.15
5/26/2011,30.66,15.98
5/27/2011,30.68,16.02
5/31/2011,31.17,16.55
6/1/2011,30.64,15.85
6/2/2011,31.28,16.02
6/3/2011,30.3,15.68
6/6/2011,29.56,15.45
6/7/2011,29.92,15.45
6/8/2011,30.57,15.1
6/9/2011,30.66,15.22
6/10/2011,29.96,15.2
6/13/2011,29.86,15.16
6/14/2011,29.76,15.2
6/15/2011,28.66,14.81
6/16/2011,28.47,14.78
6/17/2011,28.83,14.7
6/20/2011,28.82,14.99
6/21/2011,29.78,15.35
6/22/2011,29.35,15.23
6/23/2011,29.25,15.08
6/24/2011,28.35,14.89
6/27/2011,28.71,14.88
6/28/2011,28.96,14.95
6/29/2011,30.86,14.89
6/30/2011,32.27,15.04
7/1/2011,32.74,15.45
7/5/2011,32.64,15.49
7/6/2011,32.92,15.72
7/7/2011,33.33,15.81
7/8/2011,33.42,15.61
7/11/2011,32.91,15.05
7/12/2011,32.26,14.86
7/13/2011,32.38,14.91
7/14/2011,32.19,14.63
7/15/2011,32.81,14.69
7/18/2011,32.7,14.42
7/19/2011,33.76,14.59
7/20/2011,33.17,13.48
7/21/2011,33.44,13.59
7/22/2011,33.5,13.98
7/25/2011,33.8,13.69
7/26/2011,34.42,13.94
7/27/2011,33.36,13.59
7/28/2011,33.35,13.5
7/29/2011,32.75,13.1
8/1/2011,33.02,13.1
8/2/2011,31.75,12.76
8/3/2011,32.25,13.02
8/4/2011,30.04,12
